#This file is temporary to indicate which structures can be loaded from the database RAbD or not. 
#Jared Adolf-Bryfogle

LOADED 1f8tH_H2_0001
LOADED 1faiH_H2_0001
LOADED 1fe8I_H2_0001
LOADED 1fgnH_H2_0001
LOADED 1fgvH_H2_0001
LOADED 1flrH_H2_0001
LOADED 1fn4D_H2_0001
LOADED 1fnsH_H2_0001
LOADED 1forH_H2_0001
LOADED 1gafH_H2_0001
LOADED 1ggiJ_H2_0001
LOADED 1ghfH_H2_0001
LOADED 1gigH_H2_0001
LOADED 1gpoH_H2_0001
LOADED 1h0dB_H2_0001
LOADED 1h3pH_H2_0001
LOADED 1h8nA_H2_0001
LOADED 1hcvA_H2_0001
LOADED 1hezD_H2_0001
